,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002735.SZ,材料,中小企业板,否,2014,9.23,20000000,33375400,民生证券股份有限公司,"网下询价,上网定价",19,135.8916479,0.074654102
002736.SZ,金融,中小企业板,否,2014,5.83,1200000000,155780000,广发证券股份有限公司,"网下询价,上网定价",18,135.8333333,0.167023614
002737.SZ,医疗保健,中小企业板,否,2014,36.53,36500000,84712250,东海证券股份有限公司,"网下询价,上网定价",19,16.63498099,1.82265842
002738.SZ,工业,中小企业板,否,2014,7.57,30000000,36550000,中信建投证券股份有限公司,"网下询价,上网定价",19,135.9633028,1.667618155
002739.SZ,可选消费,中小企业板,否,2015,21.35,60000000,40674698,中银国际证券股份有限公司,"网下询价,上网定价",16,135.7839948,0.018803449
002740.SZ,可选消费,中小企业板,否,2015,16.48,25000000,52023691.03,海通证券股份有限公司,"网下询价,上网定价",16,61.18836915,2.081102133
002741.SZ,材料,中小企业板,否,2015,12.31,30000000,41550000,广发证券股份有限公司,"网下询价,上网定价",14,61.02650874,1.429131985
002742.SZ,材料,中小企业板,否,2015,20.37,24000000,49972000,申万宏源证券承销保荐有限责任公司,"网下询价,上网定价",15,31.53767474,1.495358109
002743.SZ,工业,中小企业板,否,2015,7.22,30340000,24035281.37,平安证券股份有限公司,"网下询价,上网定价",15,96.92307692,1.092074037
002745.SZ,信息技术,中小企业板,否,2015,21.5,44500000,80480000,平安证券股份有限公司,"网下询价,上网定价",15,27.74547804,1.533543706
002746.SZ,日常消费,中小企业板,否,2015,5.28,39850000,38158000,民生证券股份有限公司,"网下询价,上网定价",14,135.7894737,0.751038194
002747.SZ,工业,中小企业板,否,2015,6.8,30000000,33620000,华林证券股份有限公司,"网下询价,上网定价",17,135.9550562,0.017878568
002748.SZ,材料,中小企业板,否,2015,15.38,30000000,57207000,民生证券股份有限公司,"网下询价,上网定价",16,46.86230248,1.245705843
002749.SZ,材料,中小企业板,否,2015,26.92,18750000,58880000,国都证券股份有限公司,"网下询价,上网定价",16,67.00206398,1.943232775
002750.SZ,医疗保健,中小企业板,否,2015,21.21,16750000,53130000,中国中投证券有限责任公司,"网下询价,上网定价",20,126.2606418,1.236075997
002751.SZ,工业,中小企业板,否,2015,10.48,17560000,29059900,国金证券股份有限公司,"网下询价,上网定价",16,135.8515573,0.032403816
002752.SZ,材料,中小企业板,否,2015,5.74,60000000,30252200,招商证券股份有限公司,"网下询价,上网定价",19,135.7920193,0.268702626
002753.SZ,材料,中小企业板,否,2015,13.56,24700000,44153820.75,中德证券有限责任公司,"网下询价,上网定价",25,135.8422939,0.005534413
002755.SZ,工业,中小企业板,否,2015,7.49,25340000,26326800,华泰联合证券有限责任公司,"网下询价,上网定价",21,135.8665431,0.005740529
002756.SZ,材料,中小企业板,否,2015,21.74,50000000,89198500,平安证券股份有限公司,"网下询价,上网定价",21,135.7713191,0.021850219
002757.SZ,工业,中小企业板,否,2015,12.94,27340000,32779417.57,兴业证券股份有限公司,"网下询价,上网定价",16,135.7487923,0.006823336
002758.SZ,医疗保健,中小企业板,否,2015,18.04,14000000,31583200,爱建证券有限责任公司,"网下询价,上网定价",16,135.7582756,0.005192857
002759.SZ,可选消费,中小企业板,否,2015,12.02,24000000,45510000,国金证券股份有限公司,"网下询价,上网定价",17,135.7019064,0.0049875
002760.SZ,工业,中小企业板,否,2015,8.31,22000000,35380000,华林证券股份有限公司,"网下询价,上网定价",17,135.839599,0.038205728
002761.SZ,可选消费,中小企业板,否,2015,7.28,30000000,33358800,海通证券股份有限公司,"网下询价,上网定价",16,135.9732824,0.007951266
002762.SZ,可选消费,中小企业板,否,2015,26,17000000,45490000,广发证券股份有限公司,"网下询价,上网定价",16,135.7905983,0.021926116
002763.SZ,可选消费,中小企业板,否,2015,13.1,54000000,46159120.44,国信证券股份有限公司,"网下询价,上网定价",16,135.8430541,0.023620963
002765.SZ,可选消费,中小企业板,否,2015,7.67,52000000,40625300,万联证券股份有限公司,"网下询价,上网定价",18,135.8695652,0.481002301
002766.SZ,可选消费,中小企业板,否,2015,7.53,45800000,31603000,招商证券股份有限公司,"网下询价,上网定价",17,135.701107,0.016510917
002767.SZ,工业,中小企业板,否,2015,14.87,25000000,53231800,中航证券有限公司,"网下询价,上网定价",17,135.8243811,0.264931798
002768.SZ,材料,中小企业板,否,2015,17.47,20000000,27986700,安信证券股份有限公司,"网下询价,上网定价",20,57.90937997,1.401525855
002769.SZ,工业,中小企业板,否,2015,28.49,18500000,67106600,华英证券有限责任公司,"网下询价,上网定价",19,92.90762856,1.214800239
002770.SZ,日常消费,中小企业板,否,2015,6.85,68400000,61560000,中原证券股份有限公司,"网下询价,上网定价",20,70.48681542,1.245731473
002771.SZ,信息技术,中小企业板,否,2015,12.78,20000000,37972500,民生证券股份有限公司,"网下询价,上网定价",19,135.7608696,0.790607333
002772.SZ,日常消费,中小企业板,否,2015,13,37250000,58211900,中国国际金融股份有限公司,"网下询价,上网定价",16,57.90598291,1.227572322
002773.SZ,医疗保健,中小企业板,否,2015,13.62,45600000,44824267.51,中银国际证券股份有限公司,"网下询价,上网定价",16,98.01121877,1.120634079
002774.SZ,工业,中小企业板,否,2017,6.1,83700000,48971400,东吴证券股份有限公司,"网下询价,上网定价",18,135.9908884,0.536817133
002775.SZ,工业,中小企业板,否,2015,16.93,30000000,43350000,中德证券有限责任公司,"网下询价,上网定价",19,57.87530763,1.617606401
002776.SZ,可选消费,中小企业板,否,2015,23.29,26220000,48923764.6,国信证券股份有限公司,"网下询价,上网定价",16,29.15921288,1.640890002
002777.SZ,信息技术,中小企业板,否,2015,11.46,20000000,40149972.3,广发证券股份有限公司,"网下询价,上网定价",15,136,0.007713201
002778.SZ,能源,中小企业板,否,2016,8.5,22300000,23501900,东吴证券股份有限公司,"网下询价,上网定价",21,135.7843137,0.009690582
002779.SZ,工业,中小企业板,否,2015,12.11,22000000,48791333,德邦证券股份有限公司,"网下询价,上网定价",16,135.7798165,0.011066318
002780.SZ,可选消费,中小企业板,否,2015,9.42,17000000,28415900,东海证券股份有限公司,"网下询价,上网定价",16,135.9144543,0.007823529
002781.SZ,工业,中小企业板,否,2015,13.31,56250000,67817500,安信证券股份有限公司,"网下询价,上网定价",18,135.8894105,0.020289999
002782.SZ,信息技术,中小企业板,否,2015,7.58,42600000,34188960,招商证券股份有限公司,"网下询价,上网定价",18,135.7142857,0.007194836
002783.SZ,材料,中小企业板,否,2015,28.68,20870000,75723500,长江证券承销保荐有限公司,"网下询价,上网定价",16,135.811138,0.048626691
002785.SZ,材料,中小企业板,否,2015,2.29,50000000,26994000,招商证券股份有限公司,"网下询价,上网定价",19,135.4545455,0.00292226
002786.SZ,工业,中小企业板,否,2015,10.72,31780000,41305200,中国中投证券有限责任公司,"网下询价,上网定价",19,135.880829,0.007981466
002787.SZ,材料,中小企业板,否,2015,11.37,35200000,48493300,国海证券股份有限公司,"网下询价,上网定价",15,135.8582773,0.394452751
002788.SZ,医疗保健,中小企业板,否,2016,18.65,32050000,56432000,国信证券股份有限公司,"网下询价,上网定价",28,118.6895011,1.797170877
002789.SZ,工业,中小企业板,否,2016,22.53,20300000,39704745,长城证券股份有限公司,"网下询价,上网定价",17,101.541307,1.794480085
002790.SZ,工业,中小企业板,否,2016,16.58,40000000,47703100,广发证券股份有限公司,"网下询价,上网定价",20,101.0050251,1.319780946
002791.SZ,工业,中小企业板,否,2016,21.57,53590000,73309200,安信证券股份有限公司,"网下询价,上网定价",19,64.52028332,1.603536844
002792.SZ,信息技术,中小企业板,否,2016,22.94,37500000,77041820,东北证券股份有限公司,"网下询价,上网定价",19,135.8159249,1.097701788
002793.SZ,工业,中小企业板,否,2016,11.97,25000000,41880000,中泰证券股份有限公司,"网下询价,上网定价",18,135.962877,0.01690164
002795.SZ,工业,中小企业板,否,2016,14.85,25000000,43037300,中信建投证券股份有限公司,"网下询价,上网定价",16,115.575304,1.019280314
002796.SZ,工业,中小企业板,否,2016,12.95,20000000,33732400,华林证券股份有限公司,上网定价,15,135.7640751,0.032018099
002797.SZ,金融,中小企业板,否,2016,10.64,219000000,96230100,第一创业证券承销保荐有限责任公司,"网下询价,上网定价",16,48.95561358,2.16991806
002798.SZ,工业,中小企业板,否,2016,10.57,21600000,54755200,华西证券股份有限公司,"网下询价,上网定价",27,135.8081472,0.017121758
002799.SZ,材料,中小企业板,否,2016,7.98,25000000,30700000,招商证券股份有限公司,"网下询价,上网定价",20,135.770235,0.0071532
002800.SZ,工业,中小企业板,否,2016,7.7,18680000,39800000,广州证券股份有限公司,上网定价,13,135.8881876,0.009617184
002801.SZ,工业,中小企业板,否,2016,19.51,14720000,40727200,西南证券股份有限公司,上网定价,15,135.7778569,0.004327921
002802.SZ,材料,中小企业板,否,2016,9.52,27000000,28540000,东兴证券股份有限公司,"网下询价,上网定价",22,135.8862144,0.004980593
002803.SZ,材料,中小企业板,否,2016,6.37,29000000,48980000,华龙证券股份有限公司,"网下询价,上网定价",20,135.9869138,0.005048621
002805.SZ,材料,中小企业板,否,2016,5.8,24229000,32204600,中泰证券股份有限公司,"网下询价,上网定价",17,135.9281437,0.004161749
002806.SZ,材料,中小企业板,否,2016,6.2,20000000,24630000,东海证券股份有限公司,上网定价,14,135.7222844,0.0033439
002807.SZ,金融,中小企业板,否,2016,4.64,209445500,47943732.93,光大证券股份有限公司,"网下询价,上网定价",38,136.0778443,0.783878148
002808.SZ,信息技术,中小企业板,否,2016,7.71,30000000,40600700,中国银河证券股份有限公司,"网下询价,上网定价",18,135.8558559,0.0031943
002809.SZ,材料,中小企业板,否,2016,22.46,20000000,56601500,国都证券股份有限公司,上网定价,14,135.7452072,0.00675575
002810.SZ,材料,中小企业板,否,2016,9.91,23980000,31494100,招商证券股份有限公司,"网下询价,上网定价",18,135.8794674,0.004472269
002811.SZ,工业,中小企业板,否,2016,13.99,45000000,67544000,国泰君安证券股份有限公司,"网下询价,上网定价",17,135.8808933,0.442289114
002812.SZ,材料,中小企业板,否,2016,23.41,33480000,35999800,招商证券股份有限公司,"网下询价,上网定价",22,88.10442005,1.051774859
002813.SZ,信息技术,中小企业板,否,2016,6.89,30000000,42082600,招商证券股份有限公司,"网下询价,上网定价",30,135.7862903,0.004121767
002815.SZ,信息技术,中小企业板,否,2016,16.31,50000000,67640000,中信证券股份有限公司,"网下询价,上网定价",30,126.3090677,1.192633748
002816.SZ,工业,中小企业板,否,2016,8.29,25000000,34859981.11,国金证券股份有限公司,"网下询价,上网定价",28,135.678392,0.00309804
002817.SZ,医疗保健,中小企业板,否,2016,13.88,21670000,37100000,国元证券股份有限公司,"网下询价,上网定价",27,135.867934,0.004656945
002818.SZ,房地产,中小企业板,否,2016,23.49,44000000,65225800,国金证券股份有限公司,"网下询价,上网定价",23,135.7375111,0.949291527
002819.SZ,信息技术,中小企业板,否,2016,4.96,28340000,36890000,长城证券股份有限公司,"网下询价,上网定价",22,135.8543417,0.003035145
002820.SZ,日常消费,中小企业板,否,2016,16.6,32000000,46770500,中信建投证券股份有限公司,"网下询价,上网定价",18,135.7740586,0.016420593
002821.SZ,医疗保健,中小企业板,否,2016,30.53,28215875,53366081.5,中国银河证券股份有限公司,"网下询价,上网定价",18,135.8507734,0.006997223
002822.SZ,工业,中小企业板,否,2016,10.23,75000000,91218000,国海证券股份有限公司,"网下询价,上网定价",21,135.7773252,0.582485557
002823.SZ,工业,中小企业板,否,2016,13.73,36000000,37652100,国信证券股份有限公司,"网下询价,上网定价",17,135.8624178,0.004470139
002824.SZ,材料,中小企业板,否,2017,9.8,30000000,29176000,国信证券股份有限公司,"网下询价,上网定价",21,108.1502481,1.383017302
002825.SZ,材料,中小企业板,否,2016,10.17,25000000,61000000,东方花旗证券有限公司,"网下询价,上网定价",19,135.7240437,0.00532644
002826.SZ,医疗保健,中小企业板,否,2016,6.06,47430000,35600000,华西证券股份有限公司,"网下询价,上网定价",25,135.8533792,0.004263167
002827.SZ,材料,中小企业板,否,2016,8.23,46000000,29051800,财富证券有限责任公司,"网下询价,上网定价",25,135.8649789,0.007023913
002828.SZ,能源,中小企业板,否,2016,12.02,29300000,31147200,东方花旗证券有限公司,"网下询价,上网定价",20,135.7019064,0.006607065
002829.SZ,工业,中小企业板,否,2016,17.65,19000000,26901800,民生证券股份有限公司,上网定价,13,135.7592447,0.00921258
002830.SZ,工业,中小企业板,否,2016,16.53,16670000,46143300,中国国际金融股份有限公司,上网定价,14,135.8403361,0.033158429
002831.SZ,材料,中小企业板,否,2016,36.77,40010000,81968800,中信证券股份有限公司,"网下询价,上网定价",21,29.36732767,1.278448343
002832.SZ,可选消费,中小企业板,否,2016,26.17,26670000,73876900,安信证券股份有限公司,"网下询价,上网定价",17,42.78131635,2.011980295
002833.SZ,工业,中小企业板,否,2016,10.11,33360000,33800000,英大证券有限责任公司,"网下询价,上网定价",21,135.8516484,0.024944514
002835.SZ,信息技术,中小企业板,否,2016,12.34,27000000,34180000,国信证券股份有限公司,"网下询价,上网定价",22,135.846933,0.525643945
002836.SZ,工业,中小企业板,否,2016,8.09,20000000,41087000,国元证券股份有限公司,上网定价,10,135.9656652,0.022682849
002837.SZ,工业,中小企业板,否,2016,18,20000000,51193200,华林证券股份有限公司,上网定价,14,101.8904321,0.912473023
002838.SZ,材料,中小企业板,否,2017,15.28,21000000,30372000,申万宏源证券承销保荐有限责任公司,"网下询价,上网定价",22,92.95454545,1.085277557
002839.SZ,金融,中小企业板,否,2017,4.37,180760000,55924300,东吴证券股份有限公司,"网下询价,上网定价",42,93.48171701,2.554332733
002840.SZ,日常消费,中小企业板,否,2017,6.55,44666700,32330000,国信证券股份有限公司,"网下询价,上网定价",25,135.8430541,0.625272155
002841.SZ,信息技术,中小企业板,否,2017,19.06,40500000,61048400,广发证券股份有限公司,"网下询价,上网定价",21,135.7741348,1.155016422
002842.SZ,材料,中小企业板,否,2017,11.42,25000000,37486300,广发证券股份有限公司,"网下询价,上网定价",23,135.7664234,0.019415639
002843.SZ,工业,中小企业板,否,2017,6.08,35000000,36600000,国信证券股份有限公司,"网下询价,上网定价",22,135.8447489,0.0102058
002845.SZ,信息技术,中小企业板,否,2017,15.99,24000000,40216000,海通证券股份有限公司,"网下询价,上网定价",20,135.8228398,0.020343876
002846.SZ,材料,中小企业板,否,2017,8.33,30000000,31430000,国海证券股份有限公司,"网下询价,上网定价",28,135.8333333,0.021374065
002847.SZ,日常消费,中小企业板,否,2017,9.14,31000000,35800000,西部证券股份有限公司,"网下询价,上网定价",29,135.8662614,0.010452548
002848.SZ,可选消费,中小企业板,否,2017,6.31,41800000,46123000,招商证券股份有限公司,"网下询价,上网定价",28,135.7535754,0.005472919
002849.SZ,工业,中小企业板,否,2017,12.08,21666700,34687613,东吴证券股份有限公司,"网下询价,上网定价",25,135.8045977,0.008383603
002850.SZ,工业,中小企业板,否,2017,37.7,35000000,96318300,中国国际金融股份有限公司,"网下询价,上网定价",17,135.8076994,0.802859843
002851.SZ,工业,中小企业板,否,2017,12.17,44500000,51295501.9,华林证券股份有限公司,"网下询价,上网定价",20,135.7876712,0.005656359
002852.SZ,日常消费,中小企业板,否,2017,47.3,25000000,65860000,中信建投证券股份有限公司,"网下询价,上网定价",18,135.7950374,0.966046393
002853.SZ,可选消费,中小企业板,否,2017,31.03,15600000,38217100,长城证券股份有限公司,上网定价,16,135.8549687,0.017770577
002855.SZ,信息技术,中小企业板,否,2017,6.54,60000000,50150000,东方花旗证券有限公司,"网下询价,上网定价",21,135.881104,0.010105333
002856.SZ,工业,中小企业板,否,2017,11.61,25340000,27404637.31,华创证券有限责任公司,"网下询价,上网定价",21,135.7655502,0.518924892
002857.SZ,工业,中小企业板,否,2017,10.26,20000000,28725700,民生证券股份有限公司,上网定价,15,135.9512525,0.0081056
002858.SZ,可选消费,中小企业板,否,2017,10.67,15800000,31220000,申万宏源证券承销保荐有限责任公司,上网定价,11,136.0026042,0.002873418
002859.SZ,信息技术,中小企业板,否,2017,29.82,25570000,58209600,国信证券股份有限公司,"网下询价,上网定价",25,65.34699581,1.253564119
002860.SZ,工业,中小企业板,否,2017,19.81,18994670,72822000,安信证券股份有限公司,"网下询价,上网定价",22,94.91763056,0.798598647
002861.SZ,信息技术,中小企业板,否,2017,17.25,30680000,78594400,中信证券股份有限公司,"网下询价,上网定价",21,71.85990338,0.829349995
002862.SZ,可选消费,中小企业板,否,2017,11.17,20000000,21420000,东海证券股份有限公司,上网定价,15,135.9452736,0.613389254
002863.SZ,可选消费,中小企业板,否,2017,5.48,55500000,47289000,财通证券股份有限公司,"网下询价,上网定价",22,135.9949303,0.018768145
002864.SZ,医疗保健,中小企业板,否,2017,10.03,21670000,33301900,中泰证券股份有限公司,"网下询价,上网定价",22,94.87534626,0.018650576
002865.SZ,可选消费,中小企业板,否,2017,9.05,30000000,48140000,中国银河证券股份有限公司,"网下询价,上网定价",20,135.7636224,1.225043893
002866.SZ,信息技术,中小企业板,否,2017,13.4,35906700,46168987,东吴证券股份有限公司,"网下询价,上网定价",20,65.28497409,1.496298075
002867.SZ,可选消费,中小企业板,否,2017,19.92,76850000,70404200,广发证券股份有限公司,"网下询价,上网定价",17,29.81171548,1.334756732
002868.SZ,医疗保健,中小企业板,否,2017,15.2,30000000,87847700,兴业证券股份有限公司,"网下询价,上网定价",23,85.60986752,1.518708944
002869.SZ,信息技术,中小企业板,否,2017,21.8,29520000,89051200,国信证券股份有限公司,"网下询价,上网定价",25,59.28639694,2.528075218
002870.SZ,可选消费,中小企业板,否,2017,20.44,27670000,78869300,安信证券股份有限公司,"网下询价,上网定价",20,38.93985729,2.248195887
002871.SZ,工业,中小企业板,否,2017,15.39,17000000,41995000,宏信证券有限责任公司,上网定价,14,121.1642599,1.772997022
002872.SZ,医疗保健,中小企业板,否,2017,22.37,53000000,106819300,华西证券股份有限公司,"网下询价,上网定价",17,29.4008072,2.300790787
002873.SZ,医疗保健,中小企业板,否,2017,18.41,17220000,27327900,中德证券有限责任公司,上网定价,15,97.58581667,1.701424599
002875.SZ,可选消费,中小企业板,否,2017,17.07,25000000,47633000,中信证券股份有限公司,"网下询价,上网定价",22,64.40195281,2.494800806
002876.SZ,信息技术,中小企业板,否,2017,19.12,20000000,36636000,国信证券股份有限公司,上网定价,13,94.84199056,0.528117061
002877.SZ,工业,中小企业板,否,2017,8.4,30560000,33780415.1,华泰联合证券有限责任公司,"网下询价,上网定价",21,135.7024793,0.816098809
002878.SZ,可选消费,中小企业板,否,2017,14.48,18840000,45257400,国泰君安证券股份有限公司,上网定价,20,85.85131894,1.456389427
002879.SZ,工业,中小企业板,否,2017,18.02,35000000,58022050.53,安信证券股份有限公司,"网下询价,上网定价",46,20.53949904,1.221217036
002880.SZ,医疗保健,中小企业板,否,2017,25.11,27000000,55013000,平安证券股份有限公司,"网下询价,上网定价",25,116.4269912,1.455633879
002881.SZ,信息技术,中小企业板,否,2017,8.96,26670000,30206700,东莞证券股份有限公司,"网下询价,上网定价",22,135.9689922,0.030232022
002882.SZ,工业,中小企业板,否,2017,6.2,80000000,38621400,东吴证券股份有限公司,"网下询价,上网定价",45,88.35386338,1.91632092
002883.SZ,工业,中小企业板,否,2017,15.67,13333500,32092100,招商证券股份有限公司,上网定价,14,121.6755319,1.218961
002884.SZ,工业,中小企业板,否,2017,29.11,19370000,56939200,国都证券股份有限公司,上网定价,14,22.13740458,1.74977231
002885.SZ,信息技术,中小企业板,否,2017,15.53,20000000,53941800,民生证券股份有限公司,上网定价,14,114.4454383,0.536323607
002886.SZ,材料,中小企业板,否,2017,13.24,19608000,30077600,华泰联合证券有限责任公司,上网定价,15,114.4205558,0.035022389
002887.SZ,工业,中小企业板,否,2017,42.01,20000000,72050600,东莞证券股份有限公司,上网定价,35,18.06910233,1.697565794
002888.SZ,可选消费,中小企业板,否,2017,8.97,20780000,32330300,国信证券股份有限公司,"网下询价,上网定价",18,114.3188854,0.025155967
002889.SZ,工业,中小企业板,否,2017,12.94,34530000,41051700,中信证券股份有限公司,"网下询价,上网定价",21,47.18196457,2.063167095
002890.SZ,工业,中小企业板,否,2017,12.76,16670000,40258600,华英证券有限责任公司,上网定价,13,90.31028851,1.959316373
002891.SZ,日常消费,中小企业板,否,2017,15.46,25000000,64528300,宏信证券有限责任公司,"网下询价,上网定价",21,114.3755615,0.030983161
