,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002372.SZ,工业,中小企业板,否,2010,17.97,63400000,48025159.75,东北证券股份有限公司,"网下询价,上网定价",20,38.28603228,79.1214097
002373.SZ,信息技术,中小企业板,是,2010,28,17500000,30713670,华龙证券股份有限公司,"网下询价,上网定价",20,71.17857143,75.51129286
002374.SZ,工业,中小企业板,否,2010,23.8,13500000,24415386.55,宏源证券股份有限公司,"网下询价,上网定价",20,50.12605042,74.85575926
002375.SZ,工业,中小企业板,否,2010,31.86,53000000,67948800,上海华信证券有限责任公司,"网下询价,上网定价",19,23.50910232,71.57789858
002376.SZ,信息技术,中小企业板,否,2010,22.58,38000000,63021069,平安证券股份有限公司,"网下询价,上网定价",19,61.7360496,83.44863816
002377.SZ,材料,中小企业板,否,2010,19.8,27000000,38700000,新时代证券股份有限公司,"网下询价,上网定价",19,34.19191919,70.78331481
002378.SZ,材料,中小企业板,否,2010,13,43000000,49307376.03,平安证券股份有限公司,"网下询价,上网定价",20,130.4615385,85.34805814
002379.SZ,材料,中小企业板,否,2010,33,19500000,46470500,国信证券股份有限公司,"网下询价,上网定价",20,51.51515152,73.76999359
002380.SZ,工业,中小企业板,否,2010,39,17000000,39523000,广发证券股份有限公司,"网下询价,上网定价",20,99.38461538,84.40730147
002381.SZ,材料,中小企业板,否,2010,32,20000000,92374000,华泰联合证券有限责任公司,"网下询价,上网定价",17,82.40625,80.526625
002382.SZ,医疗保健,中小企业板,否,2010,35,20000000,52812593.7,国元证券股份有限公司,"网下询价,上网定价",17,66.31428571,77.6267625
002383.SZ,工业,中小企业板,否,2010,37,30000000,60724700,招商证券股份有限公司,"网下询价,上网定价",17,147.2972973,79.675675
002384.SZ,信息技术,中小企业板,否,2010,26,40000000,81176200,平安证券股份有限公司,"网下询价,上网定价",21,167.5769231,83.871525
002385.SZ,日常消费,中小企业板,否,2010,35,60800000,110200300.1,平安证券股份有限公司,"网下询价,上网定价",21,72.2,72.22034128
002386.SZ,材料,中小企业板,否,2010,15.36,100000000,81115600,宏源证券股份有限公司,"网下询价,上网定价",21,91.9921875,75.5447425
002387.SZ,信息技术,中小企业板,否,2010,27,33500000,49614009.1,国金证券股份有限公司,"网下询价,上网定价",21,114.5925926,82.59566418
002388.SZ,信息技术,中小企业板,否,2010,15,28000000,35663000,招商证券股份有限公司,"网下询价,上网定价",21,275.3333333,85.26605357
002389.SZ,工业,中小企业板,否,2010,30,17000000,32850000,华林证券股份有限公司,"网下询价,上网定价",21,172.6666667,82.06039706
002390.SZ,医疗保健,中小企业板,否,2010,33,21700000,54764522.4,民生证券股份有限公司,"网下询价,上网定价",21,59.45454545,67.76288018
002391.SZ,材料,中小企业板,否,2010,51,25000000,72000000,光大证券股份有限公司,"网下询价,上网定价",21,45.09803922,68.59697
002392.SZ,材料,中小企业板,否,2010,42,33750000,84087300,民生证券股份有限公司,"网下询价,上网定价",21,22.5,56.1189
002393.SZ,医疗保健,中小企业板,否,2010,45,46000000,69994100,渤海证券股份有限公司,"网下询价,上网定价",21,29.55555556,54.01634783
002394.SZ,可选消费,中小企业板,否,2010,45,27000000,61040000,第一创业证券股份有限公司,"网下询价,上网定价",21,37.77777778,66.92921759
002395.SZ,材料,中小企业板,否,2010,25,22500000,33232153,华泰联合证券有限责任公司,"网下询价,上网定价",20,40.4,75.27646667
002396.SZ,信息技术,中小企业板,否,2010,23.2,44000000,35670000,广发证券股份有限公司,"网下询价,上网定价",26,33.75,85.14450568
002397.SZ,可选消费,中小企业板,否,2010,51,16000000,51503900,国信证券股份有限公司,"网下询价,上网定价",20,17.98039216,67.56042969
002398.SZ,材料,中小企业板,否,2010,28,30000000,36986600,广发证券股份有限公司,"网下询价,上网定价",20,3.392857143,53.45170833
002399.SZ,医疗保健,中小企业板,否,2010,148,40100000,217995809.2,中国中投证券有限责任公司,"网下询价,上网定价",20,18.35810811,70.01550779
002400.SZ,可选消费,中小企业板,否,2010,39.8,20600000,41342033.02,德邦证券股份有限公司,"网下询价,上网定价",20,10.42713568,67.40767597
