,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_PUBOFFRDATE,IPO_LEADUNDR,IPO_TYPE,IPO_NPCTCHANGE,IPO_PCTCHANGE,IPO_TURN,IPO_NTURN
002440.SZ,材料,中小企业板,否,2010/7/6 0:00,31.2,73820000,160703541.9,2010/6/10 0:00,海通证券股份有限公司,"网下询价,上网定价",-9.189189189,-5.128205128,27.26096248,0.93994993
002441.SZ,工业,中小企业板,否,2010/7/6 0:00,39.9,29000000,61584000,2010/6/10 0:00,中信证券股份有限公司,"网下询价,上网定价",9.307135471,-3.05764411,31.33003017,2.966307402
002442.SZ,材料,中小企业板,否,2010/7/6 0:00,12.5,50000000,42998400,2010/6/10 0:00,国信证券股份有限公司,"网下询价,上网定价",-10.72137657,20.88,84.9208,3.433201075
002443.SZ,材料,中小企业板,否,2010/7/6 0:00,22,33500000,30217653,2010/6/10 0:00,安信证券股份有限公司,"网下询价,上网定价",-6.147540984,-0.181818182,39.27440299,1.698723078
002444.SZ,工业,中小企业板,否,2010/7/13 0:00,29,63500000,80101800,2010/6/22 0:00,第一创业证券股份有限公司,"网下询价,上网定价",-1.74863388,-5.344827586,25.16845866,0.946649015
002445.SZ,可选消费,中小企业板,否,2010/7/13 0:00,18.8,31000000,35318000,2010/6/22 0:00,国信证券股份有限公司,"网下询价,上网定价",-4.466501241,7.180851064,74.8564879,2.63305831
002446.SZ,信息技术,中小企业板,否,2010/7/13 0:00,17.82,26000000,33295000,2010/6/22 0:00,西部证券股份有限公司,"网下询价,上网定价",-2.959427208,17.56453423,79.93446635,3.178834677
002447.SZ,可选消费,中小企业板,否,2010/7/13 0:00,28.98,17000000,30853029.81,2010/6/22 0:00,平安证券股份有限公司,"网下询价,上网定价",5.957446809,45.96273292,87.02777206,3.63912344
002448.SZ,可选消费,中小企业板,否,2010/7/16 0:00,21.8,23500000,39551000,2010/6/25 0:00,国信证券股份有限公司,"网下询价,上网定价",6.95,83.48623853,91.0418883,4.339476109
002449.SZ,信息技术,中小企业板,否,2010/7/16 0:00,28,55000000,57449900,2010/6/25 0:00,广发证券股份有限公司,"网下询价,上网定价",10.36671368,1.285714286,58.53715455,3.087332487
002450.SZ,材料,中小企业板,否,2010/7/16 0:00,14.2,40400000,35843626.15,2010/6/25 0:00,申万宏源证券有限公司,"网下询价,上网定价",2.643391521,41.1971831,87.52172649,4.032859325
002451.SZ,工业,中小企业板,否,2010/7/20 0:00,10,36600000,27127902.42,2010/6/29 0:00,南京证券股份有限公司,"网下询价,上网定价",8.111380145,65.2,86.25016052,4.097996235
002452.SZ,工业,中小企业板,否,2010/7/20 0:00,25.88,25000000,45270000,2010/6/29 0:00,华泰联合证券有限责任公司,"网下询价,上网定价",0.863787375,16.30602782,81.46164,2.947286129
002453.SZ,材料,中小企业板,否,2010/7/20 0:00,14.96,30000000,44530000,2010/6/29 0:00,平安证券股份有限公司,"网下询价,上网定价",31.51626202,45.92245989,88.65780833,4.408501625
002454.SZ,可选消费,中小企业板,否,2010/7/20 0:00,18.2,60000000,63729149,2010/6/29 0:00,国元证券股份有限公司,"网下询价,上网定价",11.94630872,22.8021978,82.46201875,3.567151546
002455.SZ,材料,中小企业板,否,2010/8/3 0:00,20,22000000,33453200,2010/7/13 0:00,广发证券股份有限公司,"网下询价,上网定价",-2.243103971,64.95,82.76022159,3.050122738
002456.SZ,信息技术,中小企业板,否,2010/8/3 0:00,30,24000000,49086000,2010/7/13 0:00,中银国际证券股份有限公司,"网下询价,上网定价",15.55075594,54.33333333,86.24381771,3.723793745
002457.SZ,材料,中小企业板,否,2010/8/3 0:00,25,35000000,35346700,2010/7/13 0:00,广发证券股份有限公司,"网下询价,上网定价",-3.219814241,29.2,84.05136071,2.846806765
002458.SZ,日常消费,中小企业板,否,2010/8/10 0:00,24,27000000,52795102.5,2010/7/20 0:00,安信证券股份有限公司,"网下询价,上网定价",-13.08929562,50.25,81.61059259,2.651348114
